id,name,country,price,count
100,EBRPoasNOy,Equatorial Guinea,8795.41,287
101,TEneSnks,Algeria,1678.76,866
102,rT,Malaysia,3382.23,3
103,gN rYf,"Korea, Democratic People""S Republic of",8039.36,452
104,mXBpHgQ,"Virgin Islands, British",1128.98,124
105,YlHIBOXMP,Bhutan,9379.67,542
106,izsOVlV,Romania,3082.46,351
107,XRGeWiyHP,United States Minor Outlying Islands,1239.33,906
108,xbhu,Israel,4830.21,212
109,k k,Reunion,9312.74,303
110,pAx,South Georgia and the South Sandwich Islands,1331.47,142
111,Nv,Bahrain,4427.66,521
112,mSfXtuj,Saint Helena,3226.99,75
113,ogDbKNIjmF,Barbados,5529.8,85
114,HaenO,Slovenia,8342.79,76
115,rFQe,Mauritania,1128.18,159
116,JuGhZ,"Taiwan, Province of China",2179.19,396
117,UwLZXW,Central African Republic,4302.47,240
118,tPcyi,Tuvalu,5305.16,413
119,GsFfkYW,Israel,46.83,313
120,lLq,Guatemala,898.65,539
121,vg,Eritrea,9755.52,737
122,yHhoJoQ,Bahamas,6495.51,520
123,Awu,Maldives,7526.47,372
124,dds,Malawi,9436.88,865
125,RYuZX EwZ,Namibia,3155.88,988
126,RR,Aruba,6607,968
127,teqo,Paraguay,6664.56,480
128,RwMzpfhHX,Mozambique,2003.84,746
129,knMqctxL,Kiribati,4970.86,484
130,"gAIlE ",Paraguay,9131.26,224
131,jmyYIUQm,AndorrA,117.07,686
132,gVy,New Zealand,4292.77,185
133,QmlSrdgu,Netherlands Antilles,8801.04,407
134,TYYVb cVQ,Denmark,5743.37,478
135,iIbXUb,Saint Kitts and Nevis,1477.65,566
136,DUACHnG,Suriname,6028.04,27
137,EWy,Philippines,7517.84,875
138,JJCDK ZsuO,Tonga,1593.52,78
139,aTlNYhv,Venezuela,3477.58,789
140,nRabMRqZI,Bolivia,6250.44,836
141,wLLqhSCO,Aruba,8933.12,388
142,OWw,Nicaragua,1910.01,363
143,iqBdQea,Nauru,3462.37,447
144,NhYShHiP,Zimbabwe,5058.96,795
145,oeFfT,Cuba,3222.13,231
146,xZv,"Tanzania, United Republic of",5652.9,709
147,BgAnEPM,Saint Kitts and Nevis,4812.03,444
148,veM,Singapore,2711.98,321
149,uqCWP,Timor-Leste,838.19,612
150,UjGvR,Guyana,349.51,924
151,mYiH plrJ,Dominica,73.43,526
152,PXz,Indonesia,3557.29,870
153,VQXLa,Congo,2073.78,739
154,zDlByM,Barbados,1710.88,246
155,pJGB,Tunisia,7448.37,291
156,WBEUZ,Mexico,3271.5,499
157,KRYgjLAUYt,Bulgaria,2466.72,706
158,heAmsog,Switzerland,1849.45,435
159,OnrXoXynp,Switzerland,8802.73,333
160,WjXosztNPf,Malta,551.63,629
161,RIetSNVx,Australia,8947.73,572
162,eULU,British Indian Ocean Territory,1601.08,224
163,vuQ,Gibraltar,8092.83,453
164,IcCF,Saint Lucia,5621.46,964
165,DMK,Colombia,9089.7,257
166,cPFkG,Jordan,8541.04,486
167,TOeZsNPsm,Haiti,8143.67,64
168,qzDsVqW,Bahamas,5143.74,639
169,uGvRVxqaeT,Maldives,5463.71,993
170,HhkMm,Bangladesh,8898.41,728
171,Jg eRP,Russian Federation,6348.43,382
172,wr,Sri Lanka,9182.95,340
173,RLzxLbPjkh,Sierra Leone,3102.03,106
174,rhVab,"Cote D""Ivoire",7140.86,447
175,EzPF,Jordan,1851.03,828
176,ECkXMm,Congo,908.06,999
177,YTph,Japan,5348.88,849
178,ktSQg,Bahrain,8887.14,653
179,eALJdse,United States Minor Outlying Islands,8026.09,194
180,oCYzUq,Timor-Leste,1190.19,112
181,ZKrp,Luxembourg,1111.02,678
182,KoCCioEw,Niue,5278.95,196
183,uZzbijXlQy,Kenya,5828.09,169
184,xXzHJsnAAG,Svalbard and Jan Mayen,5018.65,681
185," MhjWaLc",Saint Kitts and Nevis,1498.15,522
186,CSthS,Senegal,9663.8,571
187,osHQCqCEVR,Madagascar,2900.98,712
188," FbrApp",Croatia,6216.89,452
189,ogjZpoquK,Egypt,4417.53,977
190,ZnDk,Algeria,7390.17,891
191,vVgWmdGFAk,Singapore,5861.68,873
192,mJHkdtqHZV,Bouvet Island,1068.93,448
193,qWWtxie,Marshall Islands,2561.21,643
194,gVYLuJsEw,Belize,5596.09,222
195,rMiKSzr,Bolivia,7910.71,620
196,li,Pitcairn,6971.01,95
197,RJRGXUK,Slovenia,8963.82,213
198,vzsYKP,Italy,2016.86,669
199,SCUEoe,Cocos (Keeling) Islands,7609.75,190
200,vuX kgg,Antarctica,9828.07,773
201,ttcj,Ireland,7871,135
202,fBl,Northern Mariana Islands,5334.11,619
203,WZ,Central African Republic,5430.89,735
204,iGPjYN,"Congo, The Democratic Republic of the",733.09,904
205,SY,Mexico,431.85,86
206,lot,Jamaica,3951.44,853
207,gAAssliRyX,Bahamas,7103.75,240
208,nNZ,Myanmar,6182.47,67
209,iPJc,Latvia,328.96,7
210,ukcPrKnXb,Anguilla,321.37,226
211,emDweeKLk,Guatemala,7017.83,880
212,nGOvgGVXN,Madagascar,1403.35,90
213,bTaTCTRKu,United Kingdom,1484.96,990
214,Xeif,French Guiana,2219.19,13
215,wOxVDH,Gambia,8119.19,762
216,vsiMBphQUL,Poland,2285.41,226
217,zF,RWANDA,174.14,827
218,fPBWlYkdy,Nepal,7781.51,824
219,eXmOCfiar,"Korea, Republic of",1504.88,926
220,GGEsxiIAR,Somalia,3668.01,961
221,Cj,Switzerland,2437.6,362
222,YqUp,Guinea-Bissau,926.73,620
223,QhA CxZ,Cameroon,6144.9,664
224,lLxyOWnt,Luxembourg,1052.21,735
225,L YS,Greece,6806.3,866
226,fuadTADkBF,Martinique,167.55,212
227,MJE,Macao,7771.4,958
228,pIeErJejlB,French Guiana,420.93,11
229,gR,Sudan,4422.9,312
230,eLn,New Caledonia,2274.96,233
231,hsikwF,Fiji,9726.53,540
232,idhOJOuRJ,"Tanzania, United Republic of",6543.28,521
233,krGc,Burundi,2341.65,557
234,eyUKcFbcVY,Dominica,2575.56,640
235,VBIIZxKK,Tunisia,8054.5,316
236,cvNMA,Fiji,2197.58,178
237,TYy,Ecuador,1087.39,619
238,QBBXGjTgX,Belize,4391.93,197
239,IG,Australia,2855.76,681
240,xM,Burundi,4128.77,241
241,JjRTtAhbx,Algeria,3154.23,668
242,DeAwNeyYH,Yemen,2648.06,29
243,Zj,Cocos (Keeling) Islands,4881.14,723
244,SFnKboszP,Sierra Leone,6681.75,936
245,ukElMcY,Timor-Leste,563.26,725
246,qJU,Honduras,6455.1,386
247,PsbHFovxIp,AndorrA,6522.6,401
248,wGmgyKBbA,Nepal,8375.81,390
249,JJvwJ,AndorrA,6116.66,632
250,vDCcSVkXZ,Ghana,4239.63,328
251,zaq,Armenia,3333.86,960
252,GFju,Macao,5091.13,563
253,xLJorbafX,Antigua and Barbuda,4394.84,286
254,KiFJr,Jersey,5700.91,902
255,U PbK,Honduras,3669.27,304
256,vtgqImcMPw,Gambia,646.24,745
257,sGtM,Madagascar,7079.93,825
258,tVNoOwf,Sao Tome and Principe,4872.41,786
259," L",Botswana,8264.66,829
260,tGP,Croatia,1426.85,608
261,Ep Zno,Slovakia,8485.84,991
262,buAtuH,France,7010.56,562
263," Eg",France,6790.99,367
264,ntYtpRwH,Bosnia and Herzegovina,2993.64,175
265,qe,Tunisia,5653.92,582
266,KlqWrh,Barbados,8902.23,948
267,"Ndsog WvI ","Korea, Democratic People""S Republic of",4126.65,849
268,qWQtzGmAn,Singapore,8449.29,691
269,xGWaFc,Cayman Islands,6927.22,224
270,ygefbZfZN,Denmark,6671.43,960
271,HD,Falkland Islands (Malvinas),7511.03,73
272,sdjhPO,Panama,9850.9,697
273,zhemEI,Sweden,7431.98,736
