country,id
Germany,1
Antarctica,2
Qatar,3
United States Minor Outlying Islands,4
Myanmar,5
Azerbaijan,6
"Cote D""Ivoire",7
Comoros,8
Cook Islands,9
Burundi,10
Uganda,11
Hong Kong,12
Northern Mariana Islands,13
Sudan,14
French Polynesia,15
French Southern Territories,16
Costa Rica,17
Norfolk Island,18
Guernsey,19
Guinea,20
Heard Island and Mcdonald Islands,21
Christmas Island,22
Tajikistan,23
Guatemala,24
RWANDA,25
Bosnia and Herzegovina,26
Qatar,27
Suriname,28
Norway,29
Saint Lucia,30
Marshall Islands,31
Guam,32
United Kingdom,33
"Cote D""Ivoire",34
Ethiopia,35
Liechtenstein,36
Egypt,37
San Marino,38
Mauritius,39
Honduras,40
United States,41
Comoros,42
"Palestinian Territory, Occupied",43
Morocco,44
Albania,45
Sierra Leone,46
Papua New Guinea,47
Liberia,48
Christmas Island,49
Martinique,50
El Salvador,51
Malawi,52
Samoa,53
Mauritania,54
Dominica,55
Italy,56
Belarus,57
Azerbaijan,58
Cameroon,59
"Tanzania, United Republic of",60
Germany,61
Central African Republic,62
El Salvador,63
Argentina,64
Monaco,65
Macao,66
Italy,67
Turkey,68
Ecuador,69
Palau,70
Reunion,71
Mayotte,72
Equatorial Guinea,73
Mongolia,74
Indonesia,75
Benin,76
Turkey,77
Lithuania,78
Belize,79
Nigeria,80
Heard Island and Mcdonald Islands,81
"Cote D""Ivoire",82
Turkey,83
Netherlands Antilles,84
Tajikistan,85
Cameroon,86
Gabon,87
Northern Mariana Islands,88
South Africa,89
Venezuela,90
Brunei Darussalam,91
"Iran, Islamic Republic Of",92
Lesotho,93
Afghanistan,94
"Taiwan, Province of China",95
Macao,96
Slovakia,97
Czech Republic,98
"Virgin Islands, British",99
Namibia,100
India,101
Dominica,102
Turkmenistan,103
Aruba,104
Bouvet Island,105
New Caledonia,106
Estonia,107
Madagascar,108
Congo,109
Togo,110
Hungary,111
Belgium,112
Singapore,113
Cape Verde,114
"Lao People""S Democratic Republic",115
Madagascar,116
Slovenia,117
Reunion,118
French Southern Territories,119
Afghanistan,120
Slovenia,121
Mauritania,122
Argentina,123
Poland,124
"Tanzania, United Republic of",125
"Lao People""S Democratic Republic",126
Gabon,127
Heard Island and Mcdonald Islands,128
Romania,129
Belize,130
Greece,131
Serbia and Montenegro,132
United Kingdom,133
Sierra Leone,134
French Guiana,135
Ecuador,136
Gibraltar,137
Equatorial Guinea,138
Holy See (Vatican City State),139
Egypt,140
Niue,141
American Samoa,142
American Samoa,143
Sweden,144
Faroe Islands,145
Macao,146
Aruba,147
Bahrain,148
Mongolia,149
Venezuela,150
Peru,151
Saint Vincent and the Grenadines,152
Dominican Republic,153
"Virgin Islands, U.S.",154
Samoa,155
Greece,156
Brunei Darussalam,157
Colombia,158
Vanuatu,159
Norway,160
Turks and Caicos Islands,161
Cuba,162
Sweden,163
Malaysia,164
Cayman Islands,165
Albania,166
Faroe Islands,167
Norfolk Island,168
Åland Islands,169
Brunei Darussalam,170
Guinea-Bissau,171
Syrian Arab Republic,172
Argentina,173
Czech Republic,174
Kiribati,175
Bulgaria,176
China,177
Cuba,178
Nicaragua,179
Cocos (Keeling) Islands,180
"Virgin Islands, British",181
Slovenia,182
Austria,183
American Samoa,184
Turkmenistan,185
Solomon Islands,186
Honduras,187
Bouvet Island,188
India,189
Guyana,190
Australia,191
Palau,192
Jersey,193
Jamaica,194
Sao Tome and Principe,195
Wallis and Futuna,196
Spain,197
Tokelau,198
Botswana,199
Czech Republic,200
Finland,201
Saint Lucia,202
Northern Mariana Islands,203
Guadeloupe,204
Slovenia,205
Burundi,206
Holy See (Vatican City State),207
Tokelau,208
Cuba,209
Benin,210
Gabon,211
Cyprus,212
Germany,213
Qatar,214
Greece,215
India,216
Cameroon,217
Saint Helena,218
Gibraltar,219
Gambia,220
Saint Helena,221
Georgia,222
Malawi,223
Burkina Faso,224
Sweden,225
Cameroon,226
Guyana,227
"Cote D""Ivoire",228
Jersey,229
Tonga,230
Monaco,231
Syrian Arab Republic,232
Mozambique,233
Tajikistan,234
Singapore,235
India,236
Ecuador,237
Togo,238
Antigua and Barbuda,239
Morocco,240
Zimbabwe,241
"Virgin Islands, U.S.",242
Macao,243
Heard Island and Mcdonald Islands,244
United States Minor Outlying Islands,245
Cuba,246
Bouvet Island,247
Guernsey,248
United States Minor Outlying Islands,249
Norfolk Island,250
Lithuania,251
Qatar,252
Lithuania,253
Comoros,254
Wallis and Futuna,255
Luxembourg,256
"Korea, Republic of",257
Mauritania,258
French Polynesia,259
Singapore,260
Romania,261
"Tanzania, United Republic of",262
Guyana,263
Papua New Guinea,264
Aruba,265
Nauru,266
Kiribati,267
Montserrat,268
Bahamas,269
Afghanistan,270
Sudan,271
Nepal,272
Ecuador,273
Norway,274
Fiji,275
Canada,276
Nigeria,277
Uzbekistan,278
Guinea-Bissau,279
Heard Island and Mcdonald Islands,280
Netherlands Antilles,281
Jersey,282
Croatia,283
South Africa,284
Cayman Islands,285
Congo,286
Bahrain,287
Philippines,288
Singapore,289
Mali,290
Iceland,291
Kyrgyzstan,292
Somalia,293
Venezuela,294
Guernsey,295
Marshall Islands,296
Paraguay,297
Israel,298
"Iran, Islamic Republic Of",299
Sao Tome and Principe,300
Central African Republic,301
"Korea, Democratic People""S Republic of",302
Eritrea,303
Belgium,304
