profession,id
doctor,1
firefighter,2
developer,3
police officer,4
developer,5
worker,6
firefighter,7
doctor,8
police officer,9
police officer,10
worker,11
police officer,12
worker,13
firefighter,14
worker,15
firefighter,16
doctor,17
developer,18
worker,19
police officer,20
worker,21
firefighter,22
developer,23
police officer,24
worker,25
worker,26
doctor,27
worker,28
worker,29
worker,30
firefighter,31
doctor,32
police officer,33
firefighter,34
developer,35
firefighter,36
developer,37
developer,38
worker,39
worker,40
